"N";"AVANT";"APRES";"INTERV";"Carbonari"
162;"s1";"s1";"NON";0,415949
63;"s2";"s1";"NON";0,181696
9;"s3";"s1";"NON";0,103862
6;"s4";"s1";"NON";0,049948
9;"s5";"s1";"NON";0,030054
85;"s1";"s2";"NON";0,352328
185;"s2";"s2";"NON";0,4601
16;"s3";"s2";"NON";0,340427
12;"s4";"s2";"NON";0,12407
17;"s5";"s2";"NON";0,029515
11;"s1";"s3";"NON";0,115193
46;"s2";"s3";"NON";0,207082
12;"s3";"s3";"NON";0,355605
7;"s4";"s3";"NON";0,182345
5;"s5";"s3";"NON";0,09043
5;"s1";"s4";"NON";0,084144
17;"s2";"s4";"NON";0,100213
2;"s3";"s4";"NON";0,11854
1;"s4";"s4";"NON";0,124503
6;"s5";"s4";"NON";0,084117
7;"s1";"s5";"NON";0,032386
3;"s2";"s5";"NON";0,050909
2;"s3";"s5";"NON";0,081566
3;"s4";"s5";"NON";0,519134
12;"s5";"s5";"NON";0,765884
45;"s1";"s1";"OUI";0,415949
17;"s2";"s1";"OUI";0,181696
1;"s3";"s1";"OUI";0,103862
2;"s4";"s1";"OUI";0,049948
3;"s5";"s1";"OUI";0,030054
14;"s1";"s2";"OUI";0,352328
36;"s2";"s2";"OUI";0,4601
9;"s3";"s2";"OUI";0,340427
5;"s4";"s2";"OUI";0,12407
3;"s5";"s2";"OUI";0,029515
5;"s1";"s3";"OUI";0,115193
10;"s2";"s3";"OUI";0,207082
4;"s3";"s3";"OUI";0,355605
0;"s4";"s3";"OUI";0,182345
1;"s5";"s3";"OUI";0,09043
0;"s1";"s4";"OUI";0,084144
0;"s2";"s4";"OUI";0,100213
1;"s3";"s4";"OUI";0,11854
1;"s4";"s4";"OUI";0,124503
1;"s5";"s4";"OUI";0,084117
1;"s1";"s5";"OUI";0,032386
3;"s2";"s5";"OUI";0,050909
2;"s3";"s5";"OUI";0,081566
0;"s4";"s5";"OUI";0,519134
2;"s5";"s5";"OUI";0,765884
